wave	rownum	serial	area	lr8dist	lr8mes	lr7dist	lr7mes	lr6dist	lr6mes	lr5dist	lr5mes	lr4dist	lr4mes	lr3dist	lr3mes	lr2dist	lr2mes	lr1dist	lr1mes	ll1mes	ll1dist	ll2mes	ll2dist	ll3mes	ll3dist	ll4mes	ll4dist	ll5mes	ll5dist	ll6mes	ll6dist	ll7mes	ll7dist	ll8mes	ll8dist
1	36	51176B	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51177C	65	-	-	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-
1	36	51178D	65	-	-	0	1	0	0	0	0	-	-	1	1	0	0	-	-	-	-	-	-	0	1	-	-	-	-	-	-	-	-	1	0
1	36	51179E	72	1	1	-	-	-	-	-	-	-	-	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	36	51181G	72	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	36	51182H	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51183J	72	-	-	-	-	-	-	-	-	-	-	0	1	-	-	-	-	-	-	-	-	0	1	-	-	-	-	-	-	-	-	-	-
1	36	51184K	72	-	-	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	9
1	36	51185L	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51186M	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51187N	72	-	-	1	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-
1	36	51188P	72	1	1	1	1	-	-	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	-	-
1	36	51189Q	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51192T	73	2	2	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	-	-	-	-	1	1
1	36	51193V	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51194W	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51195X	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
