wave	rownum	serial	area	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7
2	29	61072H	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61073J	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61074K	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61076M	31	0	1	1	1	0	0	0	0	0	0	1	1	1	0
2	29	61077N	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61078P	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61080R	31	0	0	2	0	0	0	0	0	0	0	0	0	2	2
2	29	61081S	31	1	1	0	0	0	0	0	0	0	0	0	1	0	1
2	29	61083V	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61084W	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61085X	34	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61086Y	34	1	1	0	0	0	0	0	0	0	0	0	0	0	1
2	29	61087Z	34	0	1	0	0	0	0	0	0	0	0	0	1	1	1
2	29	61088A	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61089B	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61090C	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61091D	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61092E	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61094G	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61095H	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61096J	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61098L	39	0	1	0	0	0	0	0	0	0	0	0	0	1	1
2	29	61101P	42	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61102Q	42	1	1	1	1	1	1	0	0	0	1	1	0	1	1
2	29	61103R	42	1	1	1	1	1	0	1	1	0	1	1	1	1	1
2	29	61104S	42	0	0	1	0	0	0	0	0	0	0	1	1	1	0
2	29	61105T	42	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61106V	47	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61107W	47	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61110Z	47	1	1	0	0	0	0	0	0	0	0	0	1	1	1
2	29	61112B	47	2	2	2	2	0	2	2	2	2	0	2	2	2	2
2	29	61113C	47	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2	29	61114D	47	0	0	1	0	0	0	0	0	0	0	0	1	1	0
2	29	61115E	47	1	1	0	0	0	0	0	0	0	0	1	1	0	0
2	29	61116F	47	2	2	2	2	2	2	2	2	2	0	0	2	2	2
2	29	61117G	50	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61118H	50	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61119J	50	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61120K	50	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61121L	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61122M	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61123N	50	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61125Q	55	1	1	0	0	0	0	0	0	0	0	0	0	1	1
2	29	61126R	55	1	1	1	1	0	0	0	0	0	0	1	1	1	1
2	29	61127S	55	2	2	2	2	2	2	2	0	0	0	0	2	2	2
2	29	61128T	55	2	2	2	2	0	0	0	0	1	0	2	2	2	2
2	29	61129V	55	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61130W	55	1	1	0	0	0	0	0	0	0	0	0	0	1	1
2	29	61131X	55	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61132Y	55	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61133Z	55	2	2	2	2	0	2	2	2	2	2	2	2	2	2
2	29	61134A	55	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2	29	61135B	55	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61136C	55	0	1	1	0	0	0	0	0	0	0	1	0	1	0
2	29	61137D	55	1	1	1	0	0	0	0	0	0	0	0	1	1	1
2	29	61138E	58	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61139F	58	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61141H	58	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61142J	58	2	2	2	0	0	0	2	2	0	0	0	2	2	2
2	29	61143K	58	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2	29	61144L	58	0	2	2	2	0	0	2	2	2	0	2	2	2	0
2	29	61145M	58	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61146N	63	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61147P	63	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61148Q	63	2	2	2	2	0	0	0	0	0	0	2	2	2	2
2	29	61149R	63	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61150S	63	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61151T	63	1	1	1	1	0	0	0	0	0	0	1	1	1	1
2	29	61152V	63	1	1	0	0	0	0	0	0	0	0	1	1	1	1
2	29	61153W	63	 	0	0	0	0	0	0	0	0	0	0	0	0	0
